Translator,Siglum,Author,Text,Words
Anonymus,AnonMetaph,Aristoteles,Metaphysica Anonyma,61295
,AnonPhys,Aristoteles,Physica Vaticana (fragm.),5850
Henricus Aristippus,AristMen,Plato,Meno,9469
,AristMet,Aristoteles,Meteorologica IV,6812
,AristPha,Plato,Phaedo,20941
Bartholomew of Messina,BarMir,Aristoteles,De mirabilibus auscultationibus,7306
,BarMor,Aristoteles,Magna moralia,20739
,BarMun,Aristoteles,De mundo,5640
,BarPri,Theophrastus,De principiis,2914
,BarPro,Aristoteles,Problemata,
,BarPue,Hippocrates,De natura pueri,6149
,BarRhet,Aristoteles,Rhetorica,
,BarSig,Theophrastus,De signis,3386
Burgundio of Pisa,BurCom,Galenus,De complexionibus,24901
,BurEthN,Aristoteles,Ethica Nova (fragm.),5066
,BurEthV,Aristoteles,Ethica Vetus (fragm.),9697
,BurFid,Johannes Damascenus,De fide orthodoxa,53755
,BurGen,Aristoteles,De generatione et corruptione,14993
,BurInt,Galenus,De interioribus I,64149
,BurIon,Johannes Chrysostomus,In Iohannem (33-88),133001
,BurMat,Johannes Chrysostomus,In Matthaeum (1-17),66626
James of Venice,JamAnim,Aristoteles,De anima,19834
,JamMetaph,Aristoteles,Metaphysica Vetustissima (fragm.),15961
,JamPhys,Aristoteles,Physica Vetus,53042
Unknown,MystAdv,,,
,MystPyrr,,,
William of Moerbeke,WilAlex,Alexander of Aphrodisias,In Meteorologica,71996
,WilCael,Aristoteles,De caelo,26961
,WilElem,Proclus,Elementatio theologica,25782
,WilGenA,Aristoteles,De generatione animalium,44160
,WilHis,Aristoteles,De historia animalium I-V,40000
,WilInPar,Proclus,In Parmenidem Platonis,161594
,WilInTim,Proclus,In Timaeum Platonis (fragm.),4775
,WilMet,Aristoteles,Meteorologica,30176
,WilRhet,Aristoteles,Rhetorica,
,WilSimp,Simplicius,In De caelo I,120399
,WilTet,Ptolemaeus,Tetrabiblos,33712
,,,,
,,,,
,,,,
